customer_id,first_name,last_name,age,gender,signup_date,loyalty_tier,city,state,country,acquisition_channel,preferred_device,marketing_opt_in
989520,Alice,Thomas,43,Homme,2024-12-10,Bronze,Paris,Île-de-France,France,Paid Search,Mobile,Yes
686946,Camille,Petit,40,Homme,2024-03-31,Silver,Genève,Genève,Suisse,Social Media,Mobile,Yes
112054,Gabriel,Lefebvre,34,Non précisé,2025-04-12,Bronze,Lille,Hauts-de-France,France,Organic Search,Mobile,No
596680,Yanis,Petit,54,Homme,2024-05-22,Gold,Strasbourg,Grand Est,France,Social Media,Desktop,Yes
784827,Ethan,Petit,50,Femme,2024-01-02,Silver,Montréal,Québec,Canada,Paid Search,Desktop,No
648698,Alice,Simon,44,Femme,2024-04-25,Bronze,Montréal,Québec,Canada,Organic Search,Desktop,Yes
415769,Louis,Morel,24,Homme,2025-04-14,Bronze,Marseille,Provence-Alpes-Côte d’Azur,France,Organic Search,Desktop,Yes
904949,Adam,Dubois,38,Femme,2025-05-14,Bronze,Dakar,Dakar,Sénégal,Email,Desktop,Yes
669089,Louis,Leroy,47,Femme,2025-01-13,Bronze,Dakar,Dakar,Sénégal,Email,Mobile,Yes
540994,Noah,Moreau,32,Femme,2025-07-03,Bronze,Paris,Île-de-France,France,Email,Desktop,Yes
841695,Tom,Leroy,62,Femme,2024-11-23,Bronze,Strasbourg,Grand Est,France,Organic Search,Desktop,Yes
342154,Ethan,Bernard,47,Homme,2024-01-27,Gold,Toulouse,Occitanie,France,Organic Search,Desktop,Yes
199099,Olivia,Roux,56,Femme,2025-06-03,Bronze,Montréal,Québec,Canada,Paid Search,Mobile,No
492888,Manon,Moreau,18,Femme,2025-04-08,Bronze,Lyon,Auvergne-Rhône-Alpes,France,Direct,Mobile,No
748246,Noah,Durand,18,Homme,2025-05-24,Bronze,Paris,Île-de-France,France,Referral,Desktop,Yes
170985,Chloe,Lambert,39,Homme,2025-12-22,Bronze,Bordeaux,Nouvelle-Aquitaine,France,Social Media,Mobile,No
453744,Eva,David,43,Homme,2024-03-27,Bronze,Marseille,Provence-Alpes-Côte d’Azur,France,Social Media,Mobile,Yes
774464,Noah,Robert,45,Homme,2024-07-04,Silver,Lyon,Auvergne-Rhône-Alpes,France,Referral,Desktop,Yes
367848,Alice,Garcia,28,Femme,2025-01-01,Bronze,Dakar,Dakar,Sénégal,Organic Search,Mobile,No
701670,Hugo,Leroy,49,Femme,2024-03-08,Bronze,Montréal,Québec,Canada,Email,Desktop,No
317282,Ethan,Simon,31,Femme,2024-04-07,Gold,Lille,Hauts-de-France,France,Social Media,Desktop,Yes
123484,Adam,Moreau,44,Femme,2024-06-11,Silver,Paris,Île-de-France,France,Paid Search,Mobile,No
895917,Yanis,Dubois,46,Homme,2025-05-22,Bronze,Paris,Île-de-France,France,Organic Search,Mobile,Yes
700546,Alice,Moreau,34,Femme,2024-11-26,Bronze,Paris,Île-de-France,France,Organic Search,Mobile,Yes
321155,Arthur,Dubois,38,Femme,2025-05-18,Bronze,Toulouse,Occitanie,France,Social Media,Tablet,Yes
157073,Eva,Laurent,31,Femme,2024-08-09,Silver,Genève,Genève,Suisse,Paid Search,Mobile,Yes
710272,Sophia,Robert,31,Femme,2024-06-05,Bronze,Paris,Île-de-France,France,Direct,Mobile,No
684041,Leo,Mercier,36,Femme,2025-11-08,Bronze,Toulouse,Occitanie,France,Organic Search,Mobile,No
243469,Hugo,Dubois,18,Homme,2024-10-28,Silver,Nantes,Pays de la Loire,France,Direct,Mobile,Yes
503336,Chloe,Durand,33,Homme,2025-11-15,Bronze,Toulouse,Occitanie,France,Paid Search,Mobile,Yes
812935,Mia,Francois,26,Femme,2024-01-19,Gold,Bordeaux,Nouvelle-Aquitaine,France,Paid Search,Desktop,Yes
131819,Lina,Andre,26,Femme,2024-01-14,Silver,Paris,Île-de-France,France,Organic Search,Desktop,Yes
263191,Mia,Fournier,41,Femme,2025-03-26,Silver,Marseille,Provence-Alpes-Côte d’Azur,France,Paid Search,Desktop,No
504154,Lina,Michel,37,Homme,2024-08-14,Silver,Dakar,Dakar,Sénégal,Paid Search,Mobile,No
358651,Emma,Bonnet,55,Femme,2024-11-10,Silver,Lille,Hauts-de-France,France,Paid Search,Desktop,No
295623,Camille,Michel,28,Femme,2024-09-10,Bronze,Genève,Genève,Suisse,Organic Search,Desktop,Yes
198559,Lucas,Andre,25,Homme,2025-01-27,Silver,Strasbourg,Grand Est,France,Direct,Mobile,Yes
744782,Arthur,Garcia,26,Femme,2024-09-22,Bronze,Paris,Île-de-France,France,Organic Search,Desktop,Yes
305493,Liam,Robert,36,Homme,2025-11-07,Bronze,Toulouse,Occitanie,France,Direct,Mobile,Yes
685801,Sami,Thomas,35,Femme,2025-03-06,Bronze,Nantes,Pays de la Loire,France,Organic Search,Desktop,Yes
329367,Tom,Mercier,25,Femme,2024-07-27,Silver,Dakar,Dakar,Sénégal,Organic Search,Mobile,Yes
565703,Chloe,Morel,28,Homme,2024-02-20,Bronze,Marseille,Provence-Alpes-Côte d’Azur,France,Direct,Mobile,Yes
